B,G,R
1.680147638469934464e+02,1.550120524168014526e+02,1.146951881349086761e+02
1.568659456558525562e+02,1.463791619539260864e+02,9.406163597106933594e+01
1.648709873463958502e+02,1.493111791014671326e+02,1.396731460094451904e+02
1.482049002703279257e+02,1.268188112378120422e+02,1.701809925734996796e+02
1.949586406182497740e+02,1.917392420172691345e+02,1.660832354426383972e+02
2.032746275253593922e+02,2.057438782453536987e+02,1.784962419867515564e+02
2.108838032335042953e+02,2.144500495195388794e+02,1.686171547472476959e+02
2.025456059537827969e+02,1.996545119285583496e+02,1.585754698812961578e+02
2.106807516794651747e+02,1.972030374407768250e+02,1.759664040803909302e+02
2.413094360586255789e+02,2.322945484519004822e+02,1.906766227483749390e+02
1.488045803308486938e+02,1.481731480360031128e+02,1.061553072631359100e+02
2.065556573439389467e+02,2.030310674309730530e+02,1.618962787985801697e+02
1.778491086140275002e+02,1.633103257417678833e+02,1.318504823148250580e+02
1.893088720217347145e+02,1.830158352851867676e+02,1.192855309844017029e+02
2.082556892670691013e+02,1.904928231239318848e+02,1.702739177644252777e+02
2.174792136084288359e+02,1.936260444521903992e+02,1.922504019737243652e+02
2.185675922241061926e+02,1.992107402682304382e+02,1.968359519839286804e+02
2.434830350894480944e+02,2.333350402712821960e+02,1.858550769984722137e+02
2.493295388389378786e+02,2.390476594567298889e+02,1.973182405829429626e+02
2.298678919412195683e+02,2.265390325784683228e+02,1.782643276453018188e+02
2.347410600204020739e+02,2.174623704552650452e+02,1.958912575840950012e+02
2.154198246411979198e+02,2.066689592599868774e+02,1.992079851031303406e+02
2.031342160068452358e+02,2.040286625623703003e+02,1.561256015300750732e+02
2.429642143547534943e+02,2.414624935388565063e+02,1.951836260855197906e+02
1.746862799413502216e+02,1.669474508762359619e+02,1.731924076378345490e+02
2.273286194652318954e+02,2.057454116344451904e+02,1.704358039498329163e+02
2.286653032619506121e+02,2.068709301352500916e+02,1.715427402555942535e+02
2.065302887707948685e+02,1.921112662553787231e+02,1.502749547064304352e+02
2.287795133255422115e+02,2.209543367624282837e+02,1.736787776350975037e+02
2.314528809189796448e+02,2.232053737640380859e+02,1.758926502466201782e+02
2.421463512927293777e+02,2.322095217704772949e+02,1.847481406927108765e+02
2.505289693176746368e+02,2.485868620872497559e+02,1.900471822023391724e+02
2.166414654925465584e+02,2.169990632534027100e+02,1.895656050443649292e+02
2.219882006794214249e+02,2.215011372566223145e+02,1.939933502674102783e+02
2.102951931804418564e+02,2.100758988857269287e+02,1.710670230984687805e+02
2.550000000000000000e+02,2.550000000000000000e+02,2.449165017306804657e+02
1.597090844232589006e+02,1.481061235070228577e+02,1.528733978867530823e+02
2.042456378769129515e+02,1.871162676215171814e+02,1.669531088471412659e+02
2.099295197352766991e+02,1.903227697610855103e+02,1.584169536530971527e+02
2.118801821582019329e+02,2.067422400712966919e+02,1.686953456997871399e+02
2.239103363286703825e+02,2.168719065785408020e+02,1.786577724516391754e+02
2.169786121640354395e+02,2.157034913897514343e+02,1.766017046272754669e+02
2.490590232852846384e+02,2.427159354090690613e+02,2.031681759655475616e+02
2.258609987515956163e+02,2.332913768887519836e+02,1.889361644983291626e+02
2.524582542497664690e+02,2.409274389147758484e+02,2.113101749122142792e+02
2.254540627617388964e+02,2.220853448510169983e+02,1.950213841795921326e+02
1.915816200263798237e+02,1.943186398744583130e+02,1.555699148178100586e+02
2.550000000000000000e+02,2.533081424236297607e+02,2.234864742755889893e+02
1.445755834151059389e+02,1.470164787173271179e+02,1.405403608977794647e+02
1.793293621297925711e+02,1.762799597382545471e+02,1.693207048475742340e+02
1.701391885261982679e+02,1.577483549714088440e+02,2.041773942410945892e+02
2.073997218608856201e+02,1.999158482551574707e+02,1.925663672685623169e+02
2.083254785854369402e+02,2.029944270253181458e+02,1.771525985002517700e+02
2.179337285440415144e+02,2.165427790284156799e+02,1.954151847064495087e+02
2.016452178023755550e+02,2.074957343339920044e+02,1.856105627417564392e+02
2.489892339669167995e+02,2.302143315076828003e+02,1.962894952297210693e+02
2.273349358662962914e+02,2.260032112598419189e+02,1.984210954904556274e+02
2.223253473509103060e+02,2.202055653929710388e+02,1.810294498503208160e+02
2.096621623821556568e+02,2.041199455261230469e+02,1.782595348060131073e+02
2.550000000000000000e+02,2.550000000000000000e+02,2.288633510172367096e+02
1.875017793178558350e+02,1.784404804706573486e+02,1.453704251646995544e+02
1.628782294970005751e+02,1.647267979979515076e+02,1.395167641043663025e+02
1.926962000969797373e+02,1.875351447463035583e+02,1.803900679051876068e+02
1.818432660326361656e+02,1.861537795066833496e+02,1.655279044508934021e+02
1.914293056186288595e+02,1.989112301468849182e+02,1.861618123352527618e+02
2.072846789155155420e+02,2.091204337477684021e+02,1.818170509040355682e+02
1.910667903739959002e+02,1.892870008349418640e+02,1.875043886601924896e+02
1.851123929619789124e+02,1.897487746477127075e+02,2.018904792368412018e+02
1.987053257375955582e+02,1.957538809776306152e+02,2.118525502681732178e+02
1.977946301028132439e+02,1.964963960647583008e+02,1.882964268326759338e+02
2.072846789155155420e+02,2.091204337477684021e+02,1.818170509040355682e+02
2.550000000000000000e+02,2.547682780623435974e+02,2.280716685652732849e+02
1.768083089441061020e+02,1.694363324642181396e+02,1.365149347186088562e+02
1.603230630494654179e+02,1.634000753164291382e+02,1.620448536276817322e+02
1.323931148368865252e+02,1.414794024825096130e+02,1.611698316633701324e+02
1.476852466538548470e+02,1.582342566251754761e+02,1.708962626755237579e+02
1.562051179967820644e+02,1.661979128122329712e+02,1.845732988715171814e+02
1.691832392644137144e+02,1.801970594525337219e+02,1.767506351768970490e+02
1.878968124184757471e+02,1.959543184638023376e+02,1.922477434575557709e+02
1.104318626020103693e+02,1.130365708470344543e+02,2.191058601737022400e+02
9.812404359504580498e+01,1.096053727865219116e+02,1.783947982788085938e+02
1.275755078680813313e+02,1.359485825300216675e+02,1.980047536492347717e+02
1.710014723334461451e+02,1.685831294655799866e+02,2.098702362775802612e+02
2.255722639076411724e+02,2.230096591711044312e+02,2.197633463144302368e+02
1.628084401786327362e+02,1.522251940965652466e+02,1.326380833685398102e+02
1.745458684228360653e+02,1.652322351932525635e+02,1.508217671811580658e+02
8.747499396651983261e+01,1.021830275058746338e+02,1.647966644763946533e+02
1.779331964980810881e+02,1.697515446543693542e+02,2.119263041019439697e+02
0.000000000000000000e+00,1.737298786640167236e+01,1.452519444227218628e+02
7.177212866023182869e+00,2.463702565431594849e+01,1.834342355728149414e+02
1.172453856207430363e+02,1.132806717157363892e+02,1.964199658632278442e+02
9.883484587632119656e+01,1.017447454333305359e+02,2.232928168177604675e+02
9.539834344945847988e+01,9.892124670743942261e+01,2.550000000000000000e+02
1.167892752792686224e+02,1.037704504132270813e+02,2.550000000000000000e+02
1.819424853641539812e+02,1.632466213107109070e+02,2.550000000000000000e+02
3.972012108750641346e+01,4.824801963567733765e+01,2.550000000000000000e+02
