B,G,R
1.181039733886718750e+02,1.537689208984375000e+02,1.379042053222656250e+02
1.221177520751953125e+02,1.585345764160156250e+02,1.473402404785156250e+02
1.172013092041015625e+02,1.588617401123046875e+02,1.661052856445312500e+02
1.318144378662109375e+02,1.657583312988281250e+02,1.649176025390625000e+02
1.201477813720703125e+02,1.625399169921875000e+02,1.580352783203125000e+02
9.914779663085937500e+01,1.567467498779296875e+02,1.456470947265625000e+02
1.038144683837890625e+02,1.580341186523437500e+02,1.484000549316406250e+02
6.160444641113281250e+01,1.415494842529296875e+02,1.479050598144531250e+02
9.526454162597656250e+01,1.388722991943359375e+02,1.538554687500000000e+02
7.559304809570312500e+01,1.389818572998046875e+02,1.468096008300781250e+02
1.353343353271484375e+02,1.789837799072265625e+02,1.446376953125000000e+02
1.223392028808593750e+02,1.698626403808593750e+02,1.324130859375000000e+02
1.453318939208984375e+02,1.845099182128906250e+02,1.528147277832031250e+02
1.319791717529296875e+02,2.029713897705078125e+02,1.631721801757812500e+02
1.524227447509765625e+02,1.798450164794921875e+02,1.718251342773437500e+02
1.244227294921875000e+02,1.721208190917968750e+02,1.553075561523437500e+02
1.314227142333984375e+02,1.740518798828125000e+02,1.594369506835937500e+02
1.446676788330078125e+02,1.815585479736328125e+02,1.501435852050781250e+02
9.641140747070312500e+01,1.579669189453125000e+02,1.294357299804687500e+02
1.131477813720703125e+02,1.606088714599609375e+02,1.539058837890625000e+02
1.220780334472656250e+02,1.650474548339843750e+02,1.445768432617187500e+02
1.087706451416015625e+02,1.511941528320312500e+02,1.323983154296875000e+02
1.221177520751953125e+02,1.585345764160156250e+02,1.473402404785156250e+02
1.293391876220703125e+02,1.717937164306640625e+02,1.365424804687500000e+02
1.589288482666015625e+02,1.902358856201171875e+02,1.462385864257812500e+02
1.680009918212890625e+02,1.879953765869140625e+02,1.639082031250000000e+02
1.540010223388671875e+02,1.841332702636718750e+02,1.556494140625000000e+02
2.399934234619140625e+02,1.351575012207031250e+02,0.000000000000000000e+00
1.353456878662109375e+02,1.854135131835937500e+02,1.539919738769531250e+02
1.353343353271484375e+02,1.789837799072265625e+02,1.446376953125000000e+02
1.225222778320312500e+01,4.074649810791015625e+01,1.037816238403320312e+02
1.423343353271484375e+02,1.809148559570312500e+02,1.487670898437500000e+02
1.270058593750000000e+02,1.711500091552734375e+02,1.351660156250000000e+02
1.611881561279296875e+02,1.241015625000000000e+02,0.000000000000000000e+00
1.260010070800781250e+02,1.764090881347656250e+02,1.391318664550781250e+02
1.200058746337890625e+02,1.692189331054687500e+02,1.310366516113281250e+02
1.633343048095703125e+02,1.867079925537109375e+02,1.611552734375000000e+02
1.726790008544921875e+02,1.957124481201171875e+02,1.760153808593750000e+02
1.703457183837890625e+02,1.950688018798828125e+02,1.746389160156250000e+02
1.633457183837890625e+02,1.931377105712890625e+02,1.705095214843750000e+02
1.392573394775390625e+02,1.903454742431640625e+02,1.391927185058593750e+02
1.353456878662109375e+02,1.854135131835937500e+02,1.539919738769531250e+02
1.299239807128906250e+02,1.877706909179687500e+02,1.336868591308593750e+02
1.610010223388671875e+02,1.860643463134765625e+02,1.597788085937500000e+02
1.640780181884765625e+02,1.766337432861328125e+02,1.693531799316406250e+02
1.593090362548828125e+02,1.444798431396484375e+02,1.898175354003906250e+02
1.314227142333984375e+02,1.740518798828125000e+02,1.594369506835937500e+02
7.247631835937500000e+01,1.549252929687500000e+02,1.344718322753906250e+02
1.726676483154296875e+02,1.892827911376953125e+02,1.666611328125000000e+02
1.769539642333984375e+02,2.052934112548828125e+02,1.732876586914062500e+02
1.726790008544921875e+02,1.957124481201171875e+02,1.760153808593750000e+02
