B,G,R
1.626680450439453125e+02,1.505099792480468750e+02,1.102674407958984375e+02
1.686477813720703125e+02,1.609680175781250000e+02,1.075026702880859375e+02
1.595242614746093750e+02,1.448090972900390625e+02,1.352453918457031250e+02
1.372187042236328125e+02,1.206920166015625000e+02,1.695467376708984375e+02
1.838138122558593750e+02,1.699472656250000000e+02,1.680556030273437500e+02
1.872344055175781250e+02,1.922376556396484375e+02,1.652130126953125000e+02
1.782147827148437500e+02,1.830634765625000000e+02,1.445005493164062500e+02
1.889082489013671875e+02,1.920675964355468750e+02,1.533560485839843750e+02
1.907486877441406250e+02,1.812445526123046875e+02,1.841043243408203125e+02
1.875715789794921875e+02,1.909420928955078125e+02,1.522490844726562500e+02
2.083254699707031250e+02,2.029944305419921875e+02,1.771526031494140625e+02
1.882752532958984375e+02,1.861116485595703125e+02,1.605485534667968750e+02
1.791857910156250000e+02,1.644358215332031250e+02,1.329574279785156250e+02
1.927081146240234375e+02,1.812273254394531250e+02,1.274275207519531250e+02
1.935521545410156250e+02,1.781121063232421875e+02,1.580975952148437500e+02
1.880721740722656250e+02,1.688646545410156250e+02,1.678977966308593750e+02
1.813697052001953125e+02,1.725750122070312500e+02,1.787270812988281250e+02
2.145757598876953125e+02,2.097841796875000000e+02,1.685378875732421875e+02
2.309340820312500000e+02,2.313327941894531250e+02,1.852211914062500000e+02
2.219881896972656250e+02,2.215011596679687500e+02,1.939933624267578125e+02
2.056552581787109375e+02,2.108722686767578125e+02,1.889313507080078125e+02
2.207665557861328125e+02,2.111710357666015625e+02,2.036357421875000000e+02
2.233248901367187500e+02,2.226266632080078125e+02,1.951002807617187500e+02
1.996017303466796875e+02,2.010717468261718750e+02,1.622115173339843750e+02
1.746862792968750000e+02,1.669474639892578125e+02,1.731924133300781250e+02
1.808183593750000000e+02,1.728128662109375000e+02,1.398357543945312500e+02
2.313386688232421875e+02,2.091219482421875000e+02,1.737566223144531250e+02
2.233185729980468750e+02,2.023688507080078125e+02,1.671149902343750000e+02
2.105657043457031250e+02,2.064076232910156250e+02,1.652170715332031250e+02
2.052189636230468750e+02,2.019055480957031250e+02,1.607893218994140625e+02
2.239325408935546875e+02,2.176627960205078125e+02,1.762864532470703125e+02
2.135571746826171875e+02,2.167010650634765625e+02,1.708310089111328125e+02
2.043185882568359375e+02,2.097467651367187500e+02,1.878244323730468750e+02
2.203587951660156250e+02,2.232530212402343750e+02,2.011076812744140625e+02
2.219881896972656250e+02,2.215011596679687500e+02,1.939933624267578125e+02
2.143052520751953125e+02,2.134524536132812500e+02,1.743878326416015625e+02
1.865352630615234375e+00,2.449952316284179688e+01,1.150559616088867188e+01
1.775119476318359375e+02,1.646058654785156250e+02,1.448143920898437500e+02
1.665701904296875000e+02,1.600609283447265625e+02,1.394374847412109375e+02
1.749083709716796875e+02,1.748564758300781250e+02,1.494791870117187500e+02
2.056520996093750000e+02,2.007433776855468750e+02,1.749387359619140625e+02
2.086213684082031250e+02,2.102459564208984375e+02,1.829239807128906250e+02
2.513952484130859375e+02,2.462625122070312500e+02,2.183459167480468750e+02
2.193148193359375000e+02,2.192501068115234375e+02,1.917794799804687500e+02
2.056552581787109375e+02,2.108722686767578125e+02,1.889313507080078125e+02
1.989718627929687500e+02,2.052446899414062500e+02,1.833966827392578125e+02
2.062660980224609375e+02,2.160373229980468750e+02,1.841101684570312500e+02
2.246171569824218750e+02,2.221703796386718750e+02,2.009498748779296875e+02
