B,G,R
1.230683135986328125e+02,1.614455566406250000e+02,1.234523315429687500e+02
1.901770477294921875e+02,1.953150329589843750e+02,1.693122406005859375e+02
1.702120208740234375e+02,2.090380554199218750e+02,1.714402465820312500e+02
1.733753204345703125e+02,2.098728942871093750e+02,1.731218872070312500e+02
1.841601104736328125e+02,1.974060058593750000e+02,1.738364715576171875e+02
1.778336029052734375e+02,1.957363281250000000e+02,1.704731903076171875e+02
1.936498260498046875e+02,1.999104919433593750e+02,1.788813781738281250e+02
1.838506011962890625e+02,1.936453552246093750e+02,1.659489593505859375e+02
1.332386627197265625e+02,1.802879333496093750e+02,1.390427398681640625e+02
2.277189483642578125e+02,2.160122070312500000e+02,1.814012451171875000e+02
1.921857452392578125e+02,2.205050964355468750e+02,1.882380523681640625e+02
2.048387603759765625e+02,2.238444824218750000e+02,1.949645996093750000e+02
2.331059112548828125e+02,2.131576232910156250e+02,2.024150695800781250e+02
2.329369049072265625e+02,2.187807922363281250e+02,2.074413909912109375e+02
1.503285064697265625e+02,2.550000000000000000e+02,5.167741012573242188e+01
2.053173065185546875e+02,2.219819335937500000e+02,1.978257751464843750e+02
1.266641387939453125e+02,1.836741943359375000e+02,1.225624084472656250e+02
2.213924713134765625e+02,2.143425598144531250e+02,1.780379333496093750e+02
2.154829864501953125e+02,2.019937438964843750e+02,1.827653656005859375e+02
2.474250030517578125e+02,2.141027832031250000e+02,2.074692687988281250e+02
2.208239593505859375e+02,2.223954772949218750e+02,1.983464813232421875e+02
1.923547821044921875e+02,2.148818969726562500e+02,1.832117156982421875e+02
2.048387603759765625e+02,2.238444824218750000e+02,1.949645996093750000e+02
2.089875335693359375e+02,2.059472656250000000e+02,1.844284210205078125e+02
1.079326934814453125e+02,1.736092224121093750e+02,1.255895996093750000e+02
1.809969024658203125e+02,1.965711669921875000e+02,1.721548309326171875e+02
1.798707733154296875e+02,2.059193725585937500e+02,1.714588317871093750e+02
1.861972808837890625e+02,2.075890808105468750e+02,1.748221130371093750e+02
1.733753204345703125e+02,2.098728942871093750e+02,1.731218872070312500e+02
1.605532684326171875e+02,2.121567077636718750e+02,1.714216613769531250e+02
1.763695220947265625e+02,2.163309020996093750e+02,1.798298492431640625e+02
1.761674957275390625e+02,1.981304931640625000e+02,1.721455383300781250e+02
1.104153594970703125e+02,1.581061706542968750e+02,1.167257385253906250e+02
7.130891418457031250e+01,2.463305053710937500e+02,4.406887054443359375e+00
1.839120941162109375e+02,2.024619445800781250e+02,1.607194519042968750e+02
1.870138092041015625e+02,1.944801635742187500e+02,1.676305999755859375e+02
1.965035247802734375e+02,1.969846801757812500e+02,1.726755371093750000e+02
1.638855438232421875e+02,2.073684082031250000e+02,1.680769348144531250e+02
1.830340118408203125e+02,2.067542114257812500e+02,1.731404724121093750e+02
1.871828460693359375e+02,1.888570556640625000e+02,1.626042785644531250e+02
9.191441345214843750e+01,1.512346191406250000e+02,1.094970855712890625e+02
1.677863311767578125e+02,1.945271301269531250e+02,1.444237365722656250e+02
1.711975860595703125e+02,1.903059692382812500e+02,1.592223968505859375e+02
1.775240936279296875e+02,1.919757080078125000e+02,1.625856933593750000e+02
1.648710479736328125e+02,1.886363220214843750e+02,1.558591156005859375e+02
1.635145416259765625e+02,1.947911376953125000e+02,1.654189758300781250e+02
1.666777496337890625e+02,1.956259460449218750e+02,1.671006011962890625e+02
1.706575469970703125e+02,1.833519287109375000e+02,1.615907592773437500e+02
