B,G,R
1.777274686396121979e+02,1.634733309745788574e+02,1.519306123182177544e+02
1.229797461032867432e+02,1.835990271568298340e+02,1.414006605222821236e+02
1.538865143954753876e+02,1.898172330856323242e+02,1.489024954140186310e+02
1.484497748613357544e+02,2.038964242935180664e+02,1.378970837891101837e+02
1.674650271236896515e+02,1.877757558822631836e+02,1.518963487744331360e+02
9.466019740700721741e+01,9.158059740066528320e+01,1.759856743440032005e+02
1.833251342773437500e+02,1.762481184005737305e+02,1.686148010194301605e+02
1.507313692867755890e+02,1.944102640151977539e+02,1.516216826736927032e+02
1.855199518203735352e+02,1.989083495140075684e+02,1.756789042428135872e+02
1.820014721453189850e+02,2.020649251937866211e+02,1.687608045339584351e+02
2.078348354697227478e+02,2.237987775802612305e+02,1.748945147693157196e+02
1.235064020454883575e+02,1.683055524826049805e+02,1.330628316849470139e+02
1.814748162031173706e+02,2.173583998680114746e+02,1.770986333712935448e+02
1.985491613447666168e+02,2.020977916717529297e+02,1.828202050179243088e+02
1.854722620248794556e+02,2.223671474456787109e+02,1.909520342797040939e+02
2.550000000000000000e+02,2.205636897087097168e+02,2.101803490296006203e+02
2.550000000000000000e+02,2.491542220115661621e+02,2.063334396705031395e+02
1.411050078570842743e+02,1.813353781700134277e+02,1.541004673764109612e+02
2.296559428274631500e+02,2.264823827743530273e+02,2.179344426840543747e+02
4.108252394199371338e+01,2.550000000000000000e+02,0.000000000000000000e+00
1.984084872305393219e+02,2.288902769088745117e+02,2.049857022464275360e+02
2.245598905980587006e+02,2.319354739189147949e+02,2.123759366050362587e+02
2.470154483616352081e+02,2.300334167480468750e+02,1.894260499030351639e+02
1.592982113957405090e+02,2.092593951225280762e+02,1.793714184984564781e+02
