file_name,plate_type,x1,y1,x2,y2,x3,y3,x4,y4
1 (2).jpg,1,482,145,1637,140,1630,912,469,902
1.jpg,1,481,145,1639,137,1638,912,469,898
12 (2).jpg,12,473,132,1645,145,1639,916,464,906
12.jpg,12,473,135,1649,145,1639,913,468,906
1_on (2).jpg,1,478,139,1635,143,1640,920,463,900
1_on.jpg,1,478,143,1634,144,1641,926,458,910
24 (2).jpg,24,504,160,1611,171,1603,893,489,883
24.jpg,24,496,155,1611,169,1603,899,486,885
24_on (2).jpg,24,485,151,1615,164,1608,890,481,885
24_on.jpg,24,488,152,1618,168,1603,896,482,891
384 (2).jpg,384,507,158,1612,168,1602,893,503,880
384.jpg,384,508,154,1614,170,1605,892,500,882
48 (2).jpg,48,499,152,1615,165,1600,900,483,888
48 (3).jpg,48,494,150,1617,162,1604,901,483,888
48.jpg,48,494,145,1618,162,1605,903,483,888
48_on (2).jpg,48,490,142,1617,161,1608,903,478,891
48_on.jpg,48,491,145,1614,158,1606,905,481,893
6 (2).jpg,6,499,154,1610,164,1607,903,484,890
6.jpg,6,503,152,1615,170,1603,903,484,887
6_on (2).jpg,6,500,154,1613,176,1600,902,496,883
6_on.jpg,6,500,153,1618,174,1614,907,490,887
96 (2).jpg,96,505,154,1611,171,1601,898,493,883
96_on (2).jpg,96,506,154,1612,166,1604,895,483,885
96_on.jpg,96,506,156,1616,162,1610,894,489,884
Nothing (2).jpg,0,504,149,1614,168,1616,902,486,888
Nothing.jpg,0,502,143,1620,164,1613,902,489,893
WIN_20251031_20_30_05_Pro.jpg,96,481,192,1584,188,1589,915,479,918
WIN_20251031_20_30_10_Pro.jpg,96,482,194,1589,188,1590,915,482,922
WIN_20251031_20_30_27_Pro.jpg,48,469,185,1596,180,1594,920,477,926
WIN_20251031_20_30_28_Pro.jpg,48,468,187,1594,182,1596,924,480,926
WIN_20251031_20_32_48_Pro.jpg,24,493,200,1605,192,1601,921,489,920
WIN_20251031_20_32_56_Pro.jpg,24,487,187,1605,191,1604,920,490,917
